Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time
Metamquina,Brazil,Metamquina,Metamquina 2,DIY kit,200x200x150,,FFF,"$ 1,876.00",-
VAGLER,Malaysia,VAGLER,V-811,Yes,270x200x250,,FFF,"$ 1,895.00",67 weeks
Airwolf 3D,USA,Airwolf 3D,AW3D XL,DIY kit,300x200x178,,FFF,"$ 1,895.00",10 days
Kudo3D,USA,kudo3D,Titan 1 DLP,Yes,192x108x241,,DLP-SLA,"$ 1,899.00",-
Zortrax,Poland,Zortrax Sp. z o. o,Zortrax M200,Yes,200x200x185,,FFF,"$ 1,899.00",In stock
Tinkerine Studio,Canada,Tinkerine,Dittopro,Yes,225x165x205,,FFF,"$ 1,899.00",-
TripodMaker ,Belgium,TripodMaker,TripodMaker 3D printer,Yes,300(diameter)x420,,FFF,"$ 1,905.00",6  8 weeks
Sharebot,Italy,Sharebot,NG Next Generation,Yes,200x200x200,,FFF,"$ 1,917.00",Okt 2013
Sasan Seyedi,USA,Sasan Seyedi,Cyrus 3D printer,Yes,195x195x200,,FFF,"$ 1,930.00",-
Makerbot,USA,Makerbot,MakerBot Replicator 2 ,Yes,285x153x155,,FFF,"$ 1,949.00",out of stock
Zion3D,USA,Zion3D,Zion 16,Yes,394x394x406 ,,FFF,"$ 1,949.00",2-3 Weeks
Omni3d,Poland,Omni3d,RapCraft 1.3 Kit,DIY kit,210x210x240,,FFF,"$ 1,976.00",in stock
Shark,Lebanon,Shark,Shark,Yes,220x220x165,,FFF,"$ 1,980.00",7-15 days
Hyrel 3D,USA,Hyrel 3D,Tinkerer E1,Yes,200x200x200,,FFF,"$ 1,995.00",-
Stalactite,Barcelona,Stalactite,Stalactite 102 ,Yes,102x77x180,,DLP,"$ 1,999.00",-
RAISE3D,USA,RAISE3D,N1 FFF 3D Printer,Yes,205x205x205,,FFF,"$ 1,999.00",In stock
Makerbot,USA,Makerbot,Replicator Mini,Yes,100x100x125,,FFF,"$ 2,000.00",2-3 days
MiniFactory,Finland,miniFactory,miniFactory 3D printer,Yes,140x150x140 ,,FFF,"$ 2,026.00",3~5 days
be3D,Czech Republic,be3D,DeeGreen,Yes,150x150x150,,FFF,"$ 2,041.00",2 days
ZMorph,Poland,ZMorph,ZMorph3d,Yes,235x230x165,,FFF,"$ 2,122.00",31 days
Hyrel 3D,USA,Hyrel 3D,Hobbyist E2,Yes,200x200x200,,FFF,"$ 2,145.00",-
Lulzbot,USA,Lulzbot,TAZ 3D-printer,Yes,298x275x250,,FFF,"$ 2,195.00",in stock
VAGLER,Malaysia,VAGLER,V-821,Yes,270x200x250,,FFF,"$ 2,295.00",Out  stock
Airwolf 3D,USA,Airwolf 3D,AW3D XL Assembled,Yes,300x200x178,,FFF,"$ 2,295.00",In stock
MiiCraft,Taiwan,Rays Opitcs,MiiCraft 3D printer ,Yes,43x27x180,,SLA,"$ 2,299.00",4-8 weeks
Omni3d,Poland,Omni3d,RapCraft 1.3,Yes,210x210x240,,FFF,"$ 2,302.00",in stock
CB-Printer,Poland,CB-Printer,3D Printer CB-printer KIT,DIY kit,200x200x180 ,,FFF,"$ 2,380.00",-
York 3D Printers,UK,York 3D Printers,Buildabot 'Revolution' 3d Printer - Fully Built,Yes,210x210x160,,FFF,"$ 2,381.00",In stock
Dreammaker,China,Dreammaker,dreammaker max,Yes,200x200x200,,FFF,"$ 2,396.00",in stock
Isis3D,USA,Isis3D,Isis One - Dual Extruder,Yes,300x300x225,,FFF,"$ 2,399.00",pre order
Leapfrog,Netherlands,Leapfrog,Creatr Hs,Yes,270x280x180,,FFF,"$ 2,446.00", 4 weeks
Hyrel 3D,USA,Hyrel 3D,Apprentice E3,Yes,200x200x200,,FFF,"$ 2,495.00",-
VAGLER,Malaysia,VAGLER,V-822,Yes,250x200x250,,FFF,"$ 2,495.00", out of stock
AIO Robotics,USA,AIO Robotics,ZEUS All-In-One 3D Printer,Yes,204x153x145,,FFF,"$ 2,499.00",6-8 weeks
Ultimaker,Netherlands,Ultimaker Shop,The Ultimaker 2 ,Yes,230x225x205,,FFF,"$ 2,500.00",4-6 weeks
Kentstrapper ,Italy,,MENDEL MAX ,Yes,400x400x300,,FFF,"$ 2,500.00",-
3D Kits,Spain,3D Kits,Status 3D printer,Yes,205x205x205,,FFF,"$ 2,503.00",-
Kikai labs,Argentina ,Kikai labs,T125,Yes,200x200x195,,FFF,"$ 2,537.00",3 weeks
ORD solutions inc,Canada,ORD solutions inc,MH3000 - 5 Color/Material 3D,Yes,284x302x192,,FFF,"$ 2,599.00",-
3D Systems,USA,Cubify,CubeX 3D printer,Yes,275x265x240,,FFF,"$ 2,615.00",-
CB-Printer,Poland,CB-Printer,3D Printer CB-printer.com ,Yes,200x200x180 ,,FFF,"$ 2,652.00",-
Something3D,Israel,Something 3D,Something3D1D,Yes,300x270x270,,FFF,"$ 2,689.00",-
Hyrel 3D,USA,Hyrel 3D,Journeyman E4,Yes,200x200x200,,FFF,"$ 2,695.00",-
Marcha technology,Spain,Marcha technology,Witbox Prusa,Yes,200x200x200,,FFF,"$ 2,715.00",in stock
Type A Machines,USA,Type A Machines,2014 Series 1 3D printer,Yes,305x305x305,,FFF,"$ 2,749.00",In stock
Marcha technology,Spain,Marcha technology,Witbox Helios,Yes,200x200x200,,FFF,"$ 2,783.00",in stock
MaukCC,Netherlands,MaukCC,Cartesio M V0.9,DIY kit,200x200x200,,FFF,"$ 2,788.00",3-6 weeks
3D Systems,USA,3D Systems,CubeX,Yes,275x265x240,,FFF,"$ 2,799.00",-
RAISE3D,USA,RAISE3D,N2 FFF 3D Printer,Yes,305x305x305,,FFF,"$ 2,799.00",In stock
Extru3D,France,Multistation,Extru3D V2 Assembled,Yes,275x205x210,,FFF,"$ 2,882.05",-
Makerbot,USA,Makerbot,Replicator,Yes,203x254x152,,FFF,"$ 2,899.00",-
3D Systems,USA,3D Systems,CubePro,Yes,273x273x241,,Plastic Jet Printing,"$ 2,899.00",Pre order
B9Creations,USA,B9Creations,B9Creator 3D printer KIT,DIY kit,77x102x203 ,,DLP,"$ 2,990.00",-
Airwolf 3D,USA,Airwolf 3D,AW3D HD,DIY kit,300x200x300,,FFF,"$ 2,995.00",24 hours
KAST,China,KAST,Kast3dp,Yes,150x200,,SLA,"$ 3,000.00",-
Trimaker,Argentina,Trimaker,Trimaker element  3D,Yes,200x200x180,,FFF,"$ 3,014.00",-
Beeverycreative,Portugal,Beeverycreative,BEETHEFIRST,Yes,190x135x125,,FFF,"$ 3,058.00", 1 to 2 weeks
Hyrel 3D,USA,Hyrel 3D,Professional E5,DIY kit,200x200x200,,FFF,"$ 3,095.00",-
Formlabs,USA,Formlabs,The Form 1 3D printer,Yes,125x125x165,,SLA,"$ 3,299.00",January 2014
InDimension3,USA,inDimension3,Glacier Steel - Dual Head Printer,Yes,300x300x400,,FFF,"$ 3,300.00",Sold out
Builder,Netherlands,Builder,Big Builder,Yes,220x210x665,,FFF,"$ 3,398.00",14 days
MaukCC,Netherlands,MaukCC,CartesioW V0.9,DIY kit,200x400x200,,FFF,"$ 3,444.00",3-6 weeks
Makerbot,USA,Makerbot,MakerBot Replicator 2X ,Yes,250x169x150,,FFF,"$ 3,492.00",2-3 days
Fablicator,USA,Fablicator,Fablicator,Yes,178x178x178 ,,FFF,"$ 3,495.00",-
Airwolf 3D,USA,Airwolf 3D,AW3 HDX ,Yes,300x200x300,,FFF,"$ 3,495.00",3-4 Week
WASP,Italy,WASP,DeltaWASP 20 40 (option: clay kit),Yes, 200 mm x 400 mm h,,FDM/LDM,"$ 3,500.00",4 weeks
RAISE3D,USA,RAISE3D,N2 Plus FFF 3D Printer,Yes,305x305x610,,FFF,"$ 3,699.00",In stock
botobjects,USA,botobjects,ProDesk 3D ,Yes,275x275x300,,FFF,"$ 3,784.00",in stock
Essential Dynamics,USA,Essential Dynamics,Imagine 3D Printer,Yes,229x229,,FFF,"$ 3,795.00",-
Omni3d,Poland,Omni3d,Factory 1.0,Yes,310x310x310,,FFF,"$ 3,920.00",in stock
Robot Factory,Italy,Robot Factory,3D-One,Yes,245x245x245,,FFF,"$ 3,957.00",-
EZ 3D printers,Taiwan,EZ 3D printers,EZ 3D Printer-200,Yes,200x150x100 ,,FFF,"$ 3,985.00",-
Choc Edge,UK,Choc Edge,Chocolate Choc Creator V1,Yes,175x175x70,,FFF,"$ 3,987.00",in stock
