Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,3D Systems,ProX 800,Half,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS-like, ABS-like/PP-like, PP-like",25.6,29.5,10.8,"$250,000 - $499,999",
Click for Details,3D Systems,ProX 800,Short,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer","ABS-like, ABS-like/PP-like, PP-like",25.6,29.5,1.97,"$250,000 - $499,999",
Click for Details,3D Systems,ProX 950,RDM 950,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PP-like",59,30,22,"$500,000 - $999,999",
Click for Details,3D Systems,ProX DMP 100,,50,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel",3.94,3.94,3.14,"$100,000 - $249,999",
Click for Details,3D Systems,ProX DMP 100,Dental,50,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel",3.94,3.94,3.14,"$100,000 - $249,999",
Click for Details,3D Systems,ProX DMP 200,,300,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Aluminum",5.51,5.51,3.94,"$250,000 - $499,999",
Click for Details,3D Systems,ProX DMP 200,Dental,300,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Aluminum",5.51,5.51,3.94,"$250,000 - $499,999",
Click for Details,3D Systems,ProX DMP 300,,500,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Aluminum",9.84,9.84,11.81,"$500,000 - $999,999",
Click for Details,3D Systems,ProX DMP 320,,,Powder Bed Fusion (e.g. SLS),Metal,"Titanium, Nickel, Steel",10.82,10.82,16.53,"$500,000 - $999,999",
Click for Details,3D Systems,ProX SLS 6100,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal",15,12.99,18.11,"$100,000 - $249,999",
Click for Details,3D Systems,sPro 60,HD Base,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",15,13,18,"$250,000 - $499,999",
Click for Details,3D Systems,sPro 60,HD-HS,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","ABS/PP, PA, PA-Glass, Rubber",15,13,18,"$250,000 - $499,999",
Click for Details,3DCeram,Ceramaker 100,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Alumina-like, Zirconia-like",3.94,3.94,3.94,"$250,000 - $499,999",
Click for Details,3DCeram,Ceramaker 900,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Alumina-like, Zirconia-like",11.8,11.8,3.94,"$250,000 - $499,999",
Click for Details,3DGence,3DGence INDUSTRY F340,HT Max module,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PET, PA, PC, PC/ABS, PC-ESD, PEEK",10.24,11.81,13.39,"$50,000 - $99,999",
Click for Details,3DGence,3DGence INDUSTRY F340,HT module,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PET, PA, PC, PC/ABS, PC-ESD, PEEK",10.24,11.81,13.39,"$50,000 - $99,999",
Click for Details,3DGence,3DGence INDUSTRY F340,PRO module,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, PET, PA, PC, PC/ABS, PC-ESD, PEEK",10.24,11.81,13.39,"$50,000 - $99,999",
Click for Details,3ntr,A2,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PA, PLA, PETG",24.4,13.78,19.3,Price not reported,
Click for Details,3ntr,A2-v4,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PA, PLA, PETG",24.4,13.78,19.3,Price not reported,
Click for Details,3ntr,A4,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PA, PLA, PETG",11.8,7.87,7.48,Price not reported,
Click for Details,3ntr,A4-v4,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PA, PLA, PETG",11.8,7.87,7.48,Price not reported,
Click for Details,Ackuretta,Ackuray A135,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.31,2.99,5.12,"Less than $49,999",
Click for Details,Ackuretta,Ackuray A96,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.78,2.13,5.12,"Less than $49,999",
Click for Details,Ackuretta,Diplo D140,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.51,3.07,4.33,"Less than $49,999",
Click for Details,Aconity,AconityLAB,Single,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Aluminum, Titanium, Copper, Cobalt",6.69,6.69,7.87,Price not reported,
