Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,InssTek,MX-1000,"3 Axis Motion Model, SDM 500",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
Click for Details,InssTek,MX-1000,"3 Axis Motion Model, SDM 800",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
Click for Details,InssTek,MX-1000,"5 Axis Motion Model, SDM 1200",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
Click for Details,InssTek,MX-1000,"5 Axis Motion Model, SDM 500",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
Click for Details,InssTek,MX-1000,"5 Axis Motion Model, SDM 800",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590565,"$500,000 - $999,999",
Click for Details,InssTek,MX-400,3 Axis Motion,500,Directed Energy Deposition,Metal,"Steel, Nickel",15.75,17.72,11.81,"$500,000 - $999,999",
Click for Details,InssTek,MX-400,5 Axis Motion,500,Directed Energy Deposition,Metal,"Steel, Nickel",15.75,17.72,11.81,"$500,000 - $999,999",
Click for Details,InssTek,MX-600,3 Axis Motion,1000,Directed Energy Deposition,Metal,"Steel, Nickel",17.7,23.6,13.7,"$500,000 - $999,999",
Click for Details,InssTek,MX-600,5 Axis Motion,1000,Directed Energy Deposition,Metal,"Steel, Nickel",17.7,23.6,13.7,"$500,000 - $999,999",
Click for Details,InssTek,MX-Grande,6 Axis Motion; 3 axis machine,5000,Directed Energy Deposition,Metal,,157.4,39.3,39.3,"Greater than $1,000,000",
Click for Details,InssTek,MX-Grande,6 Axis Motion; 3 axis mode,5000,Directed Energy Deposition,Metal,,78.7,39.3,39.3,"Greater than $1,000,000",
Click for Details,InssTek,MX-Mini,3 Axis Motion,300,Directed Energy Deposition,Metal,,7.8,7.8,7.8,Price not reported,
Click for Details,InssTek,MX-Mini,3 Axis Motion,500,Directed Energy Deposition,Metal,,7.8,7.8,7.8,Price not reported,
Click for Details,INTAMSYS,FUNMAT PRO,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, PA, TPU, PA-Carbon, PLA-Carbon",17.72,17.72,23.62,"Less than $49,999",
Click for Details,INTAMSYS,FUNMAT PRO HT,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PEEK, PEI, PLA, ABS, PA, TPU, PC, PA-Carbon, PLA-Carbon",17.72,17.72,23.62,"Less than $49,999",
Click for Details,J Group Robotics,Delta HC 500,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PLA, ABS, ASA, PA, PP, PLA-Carbon, ABS-Carbon, PA-Carbon, PETG-Carbon, PC-Carbon, PETG, PETG-Glass, PC, ABS/PC, ASA/PC, PVA, HIPS",19.69,19.69,23.62,"Less than $49,999",
Click for Details,J Group Robotics,Delta HC 666,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEI, PEI-Carbon, PPSF, PSU, PEEK, PLA, ABS, ASA, PA, PP, PLA-Carbon, ABS-Carbon, PA-Carbon, PETG-Carbon, PC-Carbon, PETG, PETG-Glass, PC, ABS/PC, ASA/PC, PVA, HIPS",15.75,15.75,19.69,"$100,000 - $249,999",
Click for Details,JewelKreator,JewelKreator Ultra,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.57,2.56,5.91,"Less than $49,999",
Click for Details,Keyence,Agilista-3110,,,Material Jetting,Polymer,Resin,11.69,8.27,7.87,"Less than $49,999",
Click for Details,Keyence,Agilista-3200,,,Material Jetting,Polymer,"Rubber-like, silicone-like, resin",11.69,8.27,7.87,"Less than $49,999",
Click for Details,Laseradd,DiMetal-300,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Nickel",9.84,9.84,11.81,Price not reported,
Click for Details,Laseradd,Laseradd DiMetal-100,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",3.94,3.94,3.94,Price not reported,
Click for Details,Laseradd,Laseradd DiMetal-100,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",3.94,3.94,3.94,Price not reported,
Click for Details,Laseradd,Laseradd DiMetal-50,,70,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",1.97,1.97,1.97,Price not reported,
Click for Details,Laseradd,Laseradd DiMetal-50,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",1.97,1.97,1.97,Price not reported,
Click for Details,Laseradd,SLS-400,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Ceramic","PA, PP",15.75,15.75,15.75,Price not reported,
Click for Details,Leapfrog,Bolt Pro,Double Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",12.6,11.81,8.07,"Less than $49,999",
Click for Details,Leapfrog,Bolt Pro,Mirror Mode,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",12.6,6.46,8.07,"Less than $49,999",
Click for Details,Leapfrog,Bolt Pro,Replicator Mode,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",12.6,6.46,8.07,"Less than $49,999",
Click for Details,Leapfrog,Bolt Pro,Single Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",12.6,12.99,8.07,"Less than $49,999",
Click for Details,Leapfrog,XceL,Dual Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",20.47,20.08,91.34,"Less than $49,999",
Click for Details,Leapfrog,XceL,Singe Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",20.47,21.18,91.34,"Less than $49,999",
Click for Details,Leapfrog,Xeed,Dual Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",8.66,9.84,9.06,"Less than $49,999",
Click for Details,Leapfrog,Xeed,Singe Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",8.66,11.02,9.06,"Less than $49,999",
Click for Details,Lithoz,CeraFab 7500,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Zirconia-like, Alumina-like",3,1.7,5.9,"$100,000 - $249,999",
Click for Details,Lithoz,CeraFab 8500,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Zirconia-like, Alumina-like",4.5,2.6,5.9,"$100,000 - $249,999",
Click for Details,LUTUM,LUTUM v4 DUAL extruder 3D Clay Printer,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,19.69,"Less than $49,999",
Click for Details,LUTUM,LUTUM v4 MXL 3D Clay Printer,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,31.5,"Less than $49,999",
Click for Details,LUTUM,LUTUM v4 Standard 3D Clay Printer,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,19.69,"Less than $49,999",
Click for Details,MarkForged,Mark Two,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",12.6,5.2,6,"Less than $49,999",
Click for Details,MarkForged,Metal X,,,Material Extrusion (e.g. FDM),Metal,Steel,9.8,7.2,5.9,"$50,000 - $99,999",
Click for Details,MarkForged,Onyx One,Professional,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",12.6,5.2,6,"Less than $49,999",
Click for Details,MarkForged,Onyx One,Standard,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",12.6,5.2,6,"Less than $49,999",
Click for Details,MarkForged,Onyx Pro,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Glass",12.6,5.2,6,"Less than $49,999",
Click for Details,MarkForged,X3,,,Material Extrusion (e.g. FDM),"Composite, Polymer",PA,12.99,10.63,7.87,"Less than $49,999",
Click for Details,MarkForged,X5,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Glass",12.99,10.63,7.87,"Less than $49,999",
Click for Details,MarkForged,X7,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",13,9.8,7.87,"$50,000 - $99,999",
Click for Details,MASSIVit3D,Massivit 1500,,,Material Jetting,Polymer,,57.09,46.06,57.87,Price not reported,
Click for Details,MASSIVit3D,MASSIVit 1800,,,Material Jetting,Polymer,,48,60,72,"$250,000 - $499,999",
Click for Details,MCor Technologies,Matrix 300+,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999",
Click for Details,MCor Technologies,MCor Arke,,,Sheet Lamination,Paper,Paper,9.5,8,4.9,"Less than $49,999",
Click for Details,MCor Technologies,MCor IRIS HD,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999",
Click for Details,Mimaki,3DUJ-553,,,Material Jetting,Polymer,,20,20,12.01,"$250,000 - $499,999",
Click for Details,miniFactory,Innovator2,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, ABS, PA",14.57,10.24,11.81,"Less than $49,999",
Click for Details,miniFactory,miniFactory Ultra,,,Material Extrusion (e.g. FDM),Polymer,"PEI, PEKK, PEEK",12.99,7.09,7.09,"$50,000 - $99,999",
Click for Details,Mutoh,MF-2500EP,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, TPC, SB, PVA",11.81,11.81,11.81,"Less than $49,999",
Click for Details,Mutoh,ML-200,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.25,7.87,"Less than $49,999",
Click for Details,Mutoh,ML-48,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.89,1.06,3.15,"Less than $49,999",
Click for Details,Mutoh,MR-5000,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PA, PBT",19.69,19.69,19.69,"$50,000 - $99,999",
Click for Details,Nexa3D,NXV,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.09,5.51,7.87,"Less than $49,999",
Click for Details,NextDent (by 3D Systems),NextDent 5100,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,4.91,2.76,7.72,"Less than $49,999",
Click for Details,Optomec,LENS 450,,400,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",3.94,3.94,3.94,"$250,000 - $499,999",
Click for Details,Optomec,LENS 850-R,,1000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",35.43,59.06,35.43,"$500,000 - $999,999",
Click for Details,Optomec,LENS 850-R,,4000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",35.43,59.06,35.43,"$500,000 - $999,999",
Click for Details,Optomec,LENS 850-R,,2000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",35.43,59.06,35.43,"$500,000 - $999,999",
Click for Details,Optomec,LENS 850-R,,3000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",35.43,59.06,35.43,"$500,000 - $999,999",
Click for Details,Optomec,LENS MR-7,,500,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",11.81,11.81,11.81,"$500,000 - $999,999",
Click for Details,Optomec,LENS MR-7,,1000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",11.81,11.81,11.81,"$500,000 - $999,999",
Click for Details,Optomec,LENS MR-7,,2000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",11.81,11.81,11.81,"$500,000 - $999,999",
Click for Details,OR Laser,Orlas Creator,,250,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Nickel, Titanium,",3.94,3.94,4.33,Price not reported,
Click for Details,PrismLab,RP300,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.34,6.38,11.02,"$50,000 - $99,999",
Click for Details,PrismLab,RP400,,,Vat Photopolymerization (e.g. SLA),Polymer,,8.5,15.12,15.12,"$50,000 - $99,999",
Click for Details,PrismLab,RP600,,,Vat Photopolymerization (e.g. SLA),Polymer,,22.68,12.76,22.83,Price not reported,
Click for Details,Prodways,ProMaker L5000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,15.75,12.99,15.75,"$100,000 - $249,999",
Click for Details,Prodways,ProMaker L5000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,15.75,12.99,7.87,"$100,000 - $249,999",
Click for Details,Prodways,ProMaker L6000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,15.75,"$250,000 - $499,999",
Click for Details,Prodways,ProMaker L6000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,7.87,"$250,000 - $499,999",
Click for Details,Prodways,ProMaker L7000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,15.75,"$250,000 - $499,999",
Click for Details,Prodways,ProMaker L7000 D,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,7.87,"$250,000 - $499,999",
Click for Details,Prodways,ProMaker LD-10,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,17.52,7.87,"$100,000 - $249,999",
Click for Details,Prodways,ProMaker LD3,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.52,4.72,5.12,"Less than $49,999",
Click for Details,Prodways,ProMaker P1000,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",11,11,11,Price not reported,
Click for Details,Prodways,ProMaker P2000 HT,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
Click for Details,Prodways,ProMaker P2000 SD,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
Click for Details,Prodways,ProMaker P2000 ST,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
Click for Details,Prodways,ProMaker P4500 HS,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
Click for Details,Prodways,ProMaker P4500 HT,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
Click for Details,Prodways,ProMaker P4500 SD,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
Click for Details,Prodways,ProMaker P4500 X,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
Click for Details,Prodways,ProMaker V6000,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,4.72,19.69,5.91,"$250,000 - $499,999",
Click for Details,Rapid Shape,D20 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,3.54,"Less than $49,999",
Click for Details,Rapid Shape,D30 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,4.33,"Less than $49,999",
Click for Details,Rapid Shape,D40 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,4.33,"Less than $49,999",
Click for Details,Rapid Shape,D90 II UV,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,5.91,"$50,000 - $99,999",
Click for Details,Rapid Shape,D90 II UV,XL,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.72,5.91,"$50,000 - $99,999",
Click for Details,Rapid Shape,HA20 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.5,1.97,3.54,"Less than $49,999",
Click for Details,Rapid Shape,HA30 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,3.54,"Less than $49,999",
Click for Details,Rapid Shape,HA40 II,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.91,3.35,4.33,"Less than $49,999",
Click for Details,Rapid Shape,HA90 Speed,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,5.91,"$50,000 - $99,999",
Click for Details,Rapid Shape,HA90 Speed XL,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.72,5.91,"$50,000 - $99,999",
Click for Details,Rapid Shape,S30,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.968505,1.220473,3.149608,"Less than $49,999",
Click for Details,Rapid Shape,S30 e,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.33,2.44,3.15,"Less than $49,999",
Click for Details,Rapid Shape,S30 L,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.267718,1.811025,3.149608,"Less than $49,999",
Click for Details,Rapid Shape,S40,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.27,1.81,3.15,"Less than $49,999",
Click for Details,Rapid Shape,S60,Maxi,,Vat Photopolymerization (e.g. SLA),Polymer,,4.88,2.76,4.33,"$50,000 - $99,999",
Click for Details,Rapid Shape,S60,Midi,,Vat Photopolymerization (e.g. SLA),Polymer,,3.74,2.09,4.33,"$50,000 - $99,999",
Click for Details,Rapid Shape,S90 speed,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,6.1,"$50,000 - $99,999",
Click for Details,Rapid Shape,S90 speed XL,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.72,6.1,"$50,000 - $99,999",
Click for Details,Raplas,RPS-2 450 HD+,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,Price not reported,
Click for Details,Raplas,RPS-2 700 HD+,,,Vat Photopolymerization (e.g. SLA),Polymer,,27.56,27.56,19.69,Price not reported,
Click for Details,Raycham,RC-LDM1500-5N,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",59.06,39.37,39.37,Price not reported,
Click for Details,Raycham,RC-LDM2020,,500-2000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",7.87,7.87,7.87,Price not reported,
Click for Details,Raycham,RC-LDM4000,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",157.48,137.8,118.11,Price not reported,
Click for Details,Raycham,RC-LDM8060,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",31.5,23.62,35.43,Price not reported,
Click for Details,Raycham,RC-M250,,200-400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,Price not reported,
Click for Details,Raycham,RC-M400,,200-400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,Price not reported,
Click for Details,Raycham,RC-WAAM-150100,,,Directed Energy Deposition,Metal,"Titanium, Aluminum, Steel, Copper",59.06,39.37,39.37,Price not reported,
Click for Details,Raycham,RC-WAAM-3020,,,Directed Energy Deposition,Metal,"Titanium, Aluminum, Steel, Copper",118.11,78.74,39.37,Price not reported,
Click for Details,Re3D,Gigabot 3+,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,23.62,23.62,"Less than $49,999",
Click for Details,Re3D,Gigabot 3+,Dual Extruder,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",21.26,23.62,23.62,"Less than $49,999",
Click for Details,Re3D,Gigabot 3+ XL,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,29.92,23.62,"Less than $49,999",
Click for Details,Re3D,Gigabot 3+ XL,Dual Extruder,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",21.26,29.92,23.62,"Less than $49,999",
Click for Details,Re3D,Gigabot 3+ XLT,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,29.92,35.43,"Less than $49,999",
Click for Details,Realizer,SLM 125 (Realizer),,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",4.92,4.92,7.87,"$250,000 - $499,999",
Click for Details,Realizer,SLM 250,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,"$250,000 - $499,999",
Click for Details,Realizer,SLM 300i,,400-1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.8,11.8,11.02,Price not reported,
Click for Details,Realizer,SLM 50,,,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Gold",2.76,2.76,1.57,"$100,000 - $249,999",
Click for Details,Renishaw,AM 250,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.65,9.65,11.81,"$500,000 - $999,999",
Click for Details,Renishaw,AM 250,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.65,9.65,11.81,"$500,000 - $999,999",
Click for Details,Renishaw,AM 400,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.84,9.84,11.81,Price not reported,
Click for Details,Renishaw,RenAM 500M,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.84,9.84,13.78,Price not reported,
Click for Details,Renishaw,RenAM 500Q,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.65,9.65,13.23,Price not reported,
Click for Details,RICOH,RICOH AM S5500P,,100,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PP, PA-Glass, PA-Carbon",21.6,21.6,21.6,"$500,000 - $999,999",
Click for Details,Rize,Rize One,,,Material Extrusion (e.g. FDM),Polymer,,12,8,6,"Less than $49,999",
Click for Details,Roboze,Argo 500,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEEK, PEEK-CF, PEI",19.69,19.69,19.69,"$100,000 - $249,999",
Click for Details,Roboze,Roboze One,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, ABS, TPE, PLA",11.02,8.66,7.87,"Less than $49,999",
Click for Details,Roboze,Roboze one+400,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEEK, PEI, PA-Carbon, ABS, PMMA, PVA, HIPS",7.9,7.9,7.9,Price not reported,
Click for Details,Roland,DWP-80S,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.15,3.15,3.15,"Less than $49,999",
Click for Details,Sciaky,EBAM 110,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",70,47,63,"Greater than $1,000,000",
Click for Details,Sciaky,EBAM 150,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",110,62,62,"Greater than $1,000,000",
Click for Details,Sciaky,EBAM 300,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",228,48,48,"Greater than $1,000,000",
Click for Details,Sciaky,EBAM 68,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",28,25,63,"Greater than $1,000,000",
Click for Details,Sciaky,EBAM 88,,,Directed Energy Deposition,Metal,"Titanium, Nickel, Steel, Aluminum, Refractory Metal, Zirconium, Copper",48,35,63,"Greater than $1,000,000",
Click for Details,Sentrol,SM250,,500,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Cobalt, Steel, Titanium",9.84,9.84,3.94,Price not reported,
Click for Details,Sentrol,SMJ80,,200,Powder Bed Fusion (e.g. SLS),Metal,"Gold, Silver, Titanium, Bronze, Steel",3.15,3.15,3.15,Price not reported,
Click for Details,Shaanxi Hengtong,Digital Light Processing,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.91,4.72,3.15,"Less than $49,999",
Click for Details,Shaanxi Hengtong,High Temp FDM,,,Material Extrusion (e.g. FDM),Polymer,"PA, PEI, PEEK",9.45,9.45,7.87,Price not reported,
Click for Details,Shaanxi Hengtong,SCPS350B,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,9.84,"$50,000 - $99,999",
Click for Details,Shaanxi Hengtong,SLS 1200,,100,Powder Bed Fusion (e.g. SLS),Sand,Silicate,47.2,23.6,23.6,Price not reported,
Click for Details,Shaanxi Hengtong,SPS250E,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,5.91,Price not reported,
Click for Details,Shaanxi Hengtong,SPS250J,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,3.94,Price not reported,
Click for Details,Shaanxi Hengtong,SPS250M,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,Price not reported,
Click for Details,Shaanxi Hengtong,SPS350B,,,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999",
Click for Details,Shaanxi Hengtong,SPS450B,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,"$100,000 - $249,999",
Click for Details,Shaanxi Hengtong,SPS600B,,,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,15.75,"$250,000 - $499,999",
Click for Details,Shaanxi Hengtong,SPS800,,,Vat Photopolymerization (e.g. SLA),Polymer,,31.5,23.62,15.75,Price not reported,
Click for Details,Shaanxi Hengtong,Surface Forming 3D Printer,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.48,3.94,7.09,Price not reported,
Click for Details,Shanghai Union Technology,FM450,,1,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,"$100,000 - $249,999",
Click for Details,Shanghai Union Technology,FM700,,1,Vat Photopolymerization (e.g. SLA),Polymer,,27.56,13.78,13.78,"$250,000 - $499,999",
Click for Details,Shanghai Union Technology,Pilot 250,,,Vat Photopolymerization (e.g. SLA),Polymer,,9.84,9.84,9.84,"$100,000 - $249,999",
Click for Details,Shanghai Union Technology,Pilot 450,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,15.75,"$100,000 - $249,999",
Click for Details,Shanghai Union Technology,RSPro 600,Full Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,19.7,"$100,000 - $249,999",
Click for Details,Shanghai Union Technology,RSPro 600,Half Vat,,Vat Photopolymerization (e.g. SLA),Polymer,,23.6,23.6,13.8,"$100,000 - $249,999",
